City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,maroantsetra,-15.4333,49.7333,25.66,89,80,1.18,MG,1712691818
141,kingston,17.997,-76.7936,31.76,65,20,12.35,JM,1712691723
142,bataipora,-22.2953,-53.2711,31.08,51,94,2.6,BR,1712691818
143,grants,35.1473,-107.8514,9.13,46,100,7.2,US,1712691693
144,tiksi,71.6872,128.8694,-17.67,100,100,2.61,RU,1712691796
145,roschinskiy,53.2669,40.0039,15.0,69,66,3.24,RU,1712691819
146,codrington,-38.2667,141.9667,13.27,82,100,3.22,AU,1712691819
147,hamilton,39.1834,-84.5333,20.11,80,100,6.69,US,1712691548
148,el abadia,36.2695,1.6861,19.74,61,0,2.78,DZ,1712691820
149,qaqortoq,60.7167,-46.0333,-0.21,69,0,1.85,GL,1712691527
150,klyuchi,52.2667,79.1667,5.93,91,100,5.07,RU,1712691574
151,sahibganj,25.25,87.65,27.1,25,71,2.62,IN,1712691820
152,bandar-e lengeh,26.5579,54.8807,27.25,53,100,5.79,IR,1712691821
153,slave lake,55.2834,-114.769,5.99,52,20,5.14,CA,1712691821
154,acapulco de juarez,16.8634,-99.8901,28.9,70,0,4.12,MX,1712691814
155,acarau,-2.8856,-40.12,27.83,84,99,3.47,BR,1712691821
156,motygino,58.1831,94.7592,3.21,100,100,1.34,RU,1712691822
157,gadzhiyevo,69.2551,33.3362,-3.53,88,100,1.51,RU,1712691822
158,hammerfest,70.6634,23.6821,0.25,86,75,7.72,NO,1712691822
159,jalai nur,49.45,117.7,3.77,45,60,3.65,CN,1712691822
160,balqash,46.8481,74.995,6.97,74,100,5.19,KZ,1712691822
161,tiassale,5.8983,-4.8283,28.19,75,99,2.52,CI,1712691823
162,cabo san lucas,22.8909,-109.9124,27.56,49,0,5.14,MX,1712691620
163,ribeira grande,38.5167,-28.7,18.22,88,75,10.28,PT,1712691814
164,umba,66.6871,34.3429,0.57,100,100,2.09,RU,1712691823
165,coquimbo,-29.9533,-71.3436,16.85,82,40,5.14,CL,1712691153
166,runaway bay,18.4596,-77.3357,27.92,77,21,8.04,JM,1712691604
167,ngaoundere,7.3167,13.5833,24.28,54,97,1.31,CM,1712691824
168,fort st. john,56.2499,-120.8529,6.94,33,75,9.26,CA,1712691824
169,ola,59.5833,151.2833,-9.37,82,7,3.73,RU,1712691824
170,sebastopol,44.6,33.5333,10.56,62,0,2.4,UA,1712691699
171,margaret river,-33.95,115.0667,13.09,78,27,5.66,AU,1712691825
172,uray,60.1247,64.7758,-6.94,93,63,2.14,RU,1712691825
173,rudbar,30.15,62.6,23.55,27,15,5.82,AF,1712691825
174,pucon,-39.2822,-71.9543,13.96,52,100,1.15,CL,1712691509
175,tindouf,27.6711,-8.1474,34.25,10,0,4.12,DZ,1712691825
176,ondjiva,-17.0667,15.7333,23.85,38,9,1.81,AO,1712691825
177,katsuura,35.1333,140.3,9.98,57,97,9.34,JP,1712691596
178,klaksvik,62.2266,-6.589,5.51,73,20,6.28,FO,1712691826
179,graaff-reinet,-32.2522,24.5308,13.29,79,99,2.26,ZA,1712691826
180,tondano,1.3038,124.9112,18.05,95,79,0.58,ID,1712691826
181,west island,-12.1568,96.8225,26.99,74,40,5.66,CC,1712691788
182,egilsstadir,65.2653,-14.3948,-0.05,93,100,6.69,IS,1712691593
183,crane,31.3974,-102.3501,17.79,62,41,8.03,US,1712691586
184,karratha,-20.7377,116.8463,25.79,37,100,10.51,AU,1712691529
185,svetlyy,54.675,20.1347,20.2,71,98,4.02,RU,1712691827
186,vila velha,-20.3297,-40.2925,28.97,81,20,5.14,BR,1712691645
187,college,64.8569,-147.8028,0.61,55,75,3.09,US,1712691530
188,road town,18.4167,-64.6167,28.02,65,20,7.2,VG,1712691828
189,isafjordur,66.0755,-23.124,-1.68,90,100,3.22,IS,1712691790
190,longmen,24.9597,118.0889,19.34,86,100,1.51,CN,1712691828
191,ansalta,42.6894,46.1178,10.13,76,23,1.89,RU,1712691829
192,butembo,0.15,29.2833,15.44,98,100,0.55,CD,1712691829
193,iglino,54.8324,56.4126,9.81,85,97,0.55,RU,1712691829
194,champerico,14.3,-91.9167,37.3,58,3,5.06,GT,1712691565
195,el porvenir,13.7617,-87.3458,34.63,14,1,3.29,HN,1712691829
196,timashevsk,45.6169,38.9453,17.27,61,15,4.98,RU,1712691830
197,grantsville,40.5999,-112.4644,13.09,41,0,3.6,US,1712691830
198,hithadhoo,-0.6,73.0833,28.63,78,70,3.18,MV,1712691798
199,masterton,-40.9597,175.6575,18.94,73,48,2.83,NZ,1712691550
200,mhamid,29.82,-5.72,27.86,17,0,8.99,MA,1712691571
201,tehachapi,35.1322,-118.449,17.96,33,0,2.68,US,1712691664
202,nagqu,31.5,92.0,-5.45,88,100,3.98,CN,1712691830
203,anadyr,64.75,177.4833,-4.72,86,100,7.0,RU,1712691558
204,holualoa,19.6228,-155.9522,24.88,74,0,3.09,US,1712691544
205,tolanaro,-25.0319,46.9987,26.04,89,20,8.23,MG,1712691575
206,mary,37.0,62.5,16.47,31,0,4.25,TM,1712691831
207,raton,36.9034,-104.4391,10.19,29,0,3.09,US,1712691832
208,darwin,-12.4611,130.8418,24.99,69,96,3.09,AU,1712691602
209,aioun,16.6614,-9.6149,34.58,16,0,2.42,MR,1712691832
210,haiku-pauwela,20.9219,-156.3051,25.68,71,20,7.2,US,1712691558
211,awjilah,29.1081,21.2869,18.62,47,40,5.8,LY,1712691832
212,hadibu,12.65,54.0333,26.87,77,21,4.13,YE,1712691550
213,sinzheim,48.7637,8.1666,10.87,72,0,6.17,DE,1712691833
214,pizarro,4.9533,-77.366,28.4,80,100,3.3,CO,1712691833
